"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.797,128.287,113.227,89.321,103.76,134.349,132.153,126.997,134.11,135.406,125.908,129.363,140.119,171.406,197.04,204.625,216.745,255.739,284.87,252.222,248.244,273.985,256.854,270.061,273.043,232.968,239.106,252.867,274.21,269.654,280.709,292.81,305.243,317.532,330.94
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.634,1366.243,1377.667,1500.348,1844.083,2118.671,2198.16,2320.659,2660.905,2929.983,2697.955,2647.348,2864.653,2685.371,2811.918,2856.701,2439.436,2472.282,2591.775,2780.152,2707.074,2771.622,2876.227,2983.803,3093.657,3214.61
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.877,17.623,18.563,19.66,20.893,22.438
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.625,1.773,1.925,2.06,2.206,2.346,2.486
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.827,1.907,3.063,3.511,3.607,2.805,3.057,3.218,3.396,3.991,5.126,6.411,7.745,10.173,12.795,10.767,11.638,14.435,15.847,16.14,16.51,13.993,14.378,15.08,16.209,15.925,17.007,18.662,20.415,22.075,23.843
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3362.242,3468.188,3664.511,3951.34,3863.344,3982.235,4158.656,4322.593,4491.375,4675.325
Ghana,38.219,61.792,72.037,48.515,17.332,15.379,14.228,11.932,12.678,12.897,14.898,16.673,16.484,13.383,12.303,14.544,15.458,15.786,17.153,17.756,11.467,12.227,14.2,17.494,20.243,24.521,28.785,33.941,38.413,34.254,43.043,53.645,56.504,63.279,53.173,48.595,54.989,58.978,65.518,67.077,69.757,74.633,79.335,84.696,90.483
Greece,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.942,145.872,143.326,144.644,149.412,132.198,136.284,154.307,202.272,240.774,248.184,273.547,318.94,356.14,330.837,299.919,288.062,245.807,239.937,237.406,196.69,195.303,203.493,218.23,214.012,222.785,231.755,240.408,248.406,257.239
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.185,1.238,1.295,1.356,1.428,1.505,1.582
Guatemala,7.319,7.995,8.098,8.406,8.796,10.385,5.615,6.502,7.042,8.118,7.106,8.687,9.625,10.462,11.855,13.314,14.218,16.103,17.488,16.492,17.187,18.703,20.777,21.918,23.965,27.211,30.231,34.113,39.137,37.734,41.338,47.655,50.388,53.851,58.722,63.767,68.663,75.62,78.461,81.318,86.397,92.553,98.775,105.48,114.375
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.866,6.034,7.304,8.374,8.79,8.79,8.604,10.306,12.099,13.368,14.396,15.566,16.707,17.881,19.143
Guinea-Bissau,0.171,0.219,0.249,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.324,0.456,0.5,0.386,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.587,0.592,0.697,0.868,0.829,0.851,1.1,0.99,1.046,1.055,1.048,1.179,1.35,1.429,1.397,1.507,1.627,1.76,1.907,2.07
Guyana,0.559,0.536,0.459,0.466,0.434,0.463,0.523,0.484,0.615,0.617,0.504,0.538,0.598,0.731,0.864,0.99,1.12,1.19,1.133,1.104,1.124,1.126,1.16,1.192,1.252,1.312,1.458,1.741,1.923,2.026,2.259,2.577,2.862,2.988,3.078,3.197,3.504,3.606,3.899,4.121,8.065,8.674,10.689,14.003,15.454
Haiti,1.546,1.702,1.77,1.9,2.105,2.337,2.597,1.279,0.841,0.778,0.99,0.888,0.533,0.642,1.772,2.812,2.902,3.336,3.719,4.148,3.952,3.57,3.475,2.984,3.538,4.312,4.749,5.885,6.55,6.585,6.619,7.517,7.89,8.453,8.775,8.724,7.976,8.409,9.658,8.819,8.709,9.072,9.445,9.822,10.214
Honduras,3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.529,18.499,19.757,20.98,21.718,23.101,23.803,24.449,25.314,26.356,27.561,28.875,30.304
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.644,248.484,262.601,275.673,291.438,309.359,320.877,341.718,362.721,372.989,385.274,402.464,421.507,442.219,464.976
Hungary,23.038,23.626,24.06,21.836,21.17,21.438,24.694,27.14,29.699,30.319,34.361,34.749,38.725,40.119,43.16,46.419,46.66,47.29,48.77,49.17,47.311,53.821,67.717,85.325,104.067,113.035,115.295,139.851,157.998,130.594,130.923,140.782,127.857,135.221,140.083,123.074,126.045,139.844,161.182,170.407,180.498,192.239,201.487,211.566,222.13
Iceland,3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.581,8.494,8.972,9.004,8.205,9.295,11.414,13.835,16.813,17.216,21.515,17.905,13.165,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.457,25.965,23.918,24.237,24.744,25.268,26.115,27.123
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,300.187,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2289.754,2652.245,2718.732,2935.57,3202.183,3509.654,3847.967,4223.843,4631.761
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.292,1022.454,1111.713,1204.83,1297.175,1390.183,1489.693,1596.011
Iran,93.531,101.451,127.557,155.942,160.074,179.718,208.782,276.875,318.601,379.167,575.265,302.498,49.423,65.03,82.405,115.703,157.347,185.727,208.928,277.095,365.946,334.323,129.778,152.973,186.857,228.18,270.333,351.769,406.212,410.557,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709,446.105,458.5,463.077,476.369,496.411,525.422,573.541
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.722,175.151,195.473,224.228,224.462,232.745,242.586,254.801,268.191,283.309
Ireland,21.418,20.416,21.305,20.611,19.877,21.161,28.506,33.648,36.862,38.017,48.183,48.823,54.892,51.346,55.823,69.236,75.902,82.929,90.189,98.829,100.139,109.208,128.459,164.601,194.137,211.849,232.309,270.293,276.108,236.961,222.498,237.64,224.938,238.296,258.528,291.281,300.308,335.211,382.754,384.94,402.05,424.247,447.754,471.666,497.73
Israel,23.809,25.228,27.037,30.153,28.546,26.531,32.662,39.012,48.326,49.171,58.022,65.818,73.547,73.919,84.379,100.239,109.857,114.624,115.862,117.011,132.243,130.673,121.042,126.808,135.343,142.411,153.982,178.744,215.96,207.45,233.733,261.717,257.18,292.636,309.558,299.813,318.951,353.253,370.588,387.717,410.501,433.165,457.448,483.878,511.646
Italy,482.721,437.76,432.633,448.958,443.573,458.065,648.765,814.268,902.144,938.273,1170.996,1236.942,1312.572,1055.479,1088.653,1171.401,1309.287,1240.398,1267.952,1250.226,1145.108,1163.332,1271.649,1572.721,1800.804,1854.377,1944.365,2206.116,2400.232,2191.442,2128.87,2278.871,2074.017,2131.129,2155.154,1833.196,1869.954,1950.703,2075.856,1988.636,2013.67,2070.106,2125.928,2182.541,2246.02
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.516,5.529,6.543,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.211,13.864,14.152,14.108,14.773,15.461,15.702,16.474,17.082,17.813,18.619,19.503
Japan,1105.386,1218.989,1134.518,1243.324,1318.382,1398.893,2078.953,2532.809,3071.684,3054.914,3132.817,3584.42,3908.808,4454.144,4907.039,5449.118,4833.714,4414.734,4032.511,4562.079,4887.52,4303.542,4115.116,4445.659,4815.169,4755.411,4530.377,4515.263,5037.909,5231.383,5700.099,6157.458,6203.212,5155.716,4850.414,4389.476,4926.668,4859.788,4971.767,5154.475,5413.054,5592.333,5796.033,6019.234,6259.581
Jordan,3.908,4.388,4.684,4.922,4.972,5.001,6.404,6.751,6.324,4.252,4.161,4.345,5.369,5.532,6.197,6.65,6.928,7.246,7.912,8.149,8.461,8.975,9.582,10.196,11.411,12.589,15.057,17.111,21.963,23.82,26.425,28.986,31.418,34.115,36.382,37.97,39.253,40.766,42.291,44.172,46.363,48.758,51.376,54.24,57.264
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,162.887,172.941,170.326,182.623,196.871,213.339,236.572,258.459
Kenya,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.958,35.895,37.022,40,41.672,50.422,55.125,61.547,64.236,69.19,78.689,87.928,98.607,109.128,119.545,131.369,144.686,158.835
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.186,0.189,0.184,0.192,0.201,0.21,0.22,0.23
"Korea, Republic of",67.139,74.831,80.356,89.915,99.806,103.603,119.374,150.987,203.506,251.616,288.625,336.55,361.676,399.132,470.736,574.598,617.96,576.019,386.671,501.365,576.179,547.656,627.247,702.715,793.176,934.901,1053.217,1172.614,1047.339,943.672,1144.067,1253.223,1278.428,1370.795,1484.318,1465.773,1500.479,1623.901,1720.489,1629.532,1626.553,1702.137,1789.961,1884.063,1988.109
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.092,2.509,2.691,3.348,3.621,3.738,3.918,4.743,5.71,5.67,5.841,6.7,6.504,7.074,7.398,6.444,6.717,7.243,7.947,7.996,8.402,8.972,9.585,10.228,10.947
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,119.533,141.646,137.591,139.57,143.423,148.617,155.261,163.211
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.093,8.261,8.715,9.218,9.822,10.344,10.893
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.916,17.069,18.12,19.127,21.211,23.084,25.107,27.299,29.672
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.694,2.728,4.532,5.41,5.97,6.527,7.178,7.534,7.941,8.351,9.553,11.753,14.377,16.949,21.466,30.946,35.763,26.238,23.798,28.496,28.141,30.26,31.385,26.986,27.707,30.528,34.882,35.045,36.771,39.107,41.456,43.838,46.439
Lebanon,4.018,3.84,2.619,3.609,4.266,3.563,2.778,3.252,3.267,2.68,2.799,4.39,5.468,7.43,8.982,10.963,12.816,15.525,17.048,17.162,17.007,17.349,18.825,19.473,21.146,21.49,22.049,24.873,29.228,35.477,38.42,40.076,44.231,46.867,48.296,49.974,51.239,53.394,56.372,58.565,60.455,63.139,66.12,69.608,73.008
Lesotho,0.47,0.477,0.397,0.436,0.391,0.312,0.359,0.468,0.531,0.552,0.666,0.756,0.877,0.876,0.923,1.038,0.983,1.036,0.955,0.937,0.911,0.754,0.825,1.193,1.488,1.596,1.634,1.891,1.755,2.074,2.525,2.779,2.655,2.506,2.635,2.326,2.423,2.677,2.713,2.741,2.8,2.974,3.18,3.317,3.458
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.874,0.906,0.927,0.748,0.897,0.949,1.119,1.373,1.726,1.768,1.998,2.398,2.721,3.065,3.137,3.163,3.277,3.284,3.248,3.222,3.231,3.279,3.451,3.513,3.725
Libya,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.557,40.951,33.018,34.076,35.003,36.415,38.093,39.968
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.698,8.385,10.121,11.241,10.973,11.539,12.253,14.275,18.803,22.647,26.143,30.235,39.804,48.083,37.527,37.187,43.526,42.873,46.431,48.594,41.538,42.991,47.645,53.302,53.641,56.225,59.493,62.718,65.924,69.418
Luxembourg,6.46,5.571,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.547,18.503,19.341,21.174,21.326,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.71,61.758,66.209,57.233,58.985,62.449,69.553,69.453,72.994,76.823,80.851,85.042,89.541
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.811,7.323,8.195,10.586,12.092,14.79,18.341,20.917,21.475,28.124,36.708,43.032,51.552,55.348,45.362,45.322,50.559,54.545,55.136,55.377,56.275,57.79,59.437,61.342
Madagascar,4.042,3.595,3.526,3.512,2.939,2.858,3.258,2.566,2.442,2.498,3.081,2.677,3.001,3.371,2.977,3.16,3.995,3.546,3.738,3.721,3.878,4.53,4.397,5.474,4.364,5.039,5.516,7.343,9.413,8.55,8.73,9.893,9.92,10.602,10.674,9.703,10.126,11.464,12.09,12.55,13.647,14.765,15.901,17.132,18.457
Malawi,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.901,7.522,8.05,8.539,9.115,9.77,10.477
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.514,64.424,72.858,81.121,96.75,109.839,109.098,78.609,86.203,102.149,101.054,109.834,120.025,135.869,150.352,170.472,202.8,242.035,211.882,258.647,302.194,318.91,327.869,342.868,301.355,301.255,318.955,358.579,365.303,381.523,409.533,438.681,470.158,505.157
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.402,4.858,5.328,5.786,6.283,6.795,7.348,7.937,8.539
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.016,15.37,17.18,17.647,19.02,20.439,21.984,23.624,25.229
Malta,1.197,1.169,1.105,1.078,1.021,1.034,1.342,1.675,1.901,1.991,2.391,2.601,2.895,2.579,2.856,3.367,3.433,3.475,3.682,3.842,4.059,4.068,4.474,5.422,6.049,6.402,6.79,7.944,9.013,8.553,8.756,9.508,9.215,10.154,11.306,10.717,11.449,12.764,14.56,14.859,15.787,16.879,17.968,19.055,20.209
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.11,0.109,0.112,0.117,0.127,0.129,0.133,0.14,0.147,0.154,0.155,0.155,0.168,0.176,0.187,0.192,0.185,0.181,0.198,0.208,0.214,0.22,0.228,0.236,0.243,0.249,0.255
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.213,1.39,1.464,1.25,1.316,1.415,1.443,1.402,1.371,1.406,1.294,1.296,1.324,1.563,1.831,2.184,3.11,3.343,3.978,3.671,4.344,5.18,5.226,5.724,5.391,4.831,4.686,4.925,5.237,5.651,5.918,6.28,6.92,7.48,8.063
Mauritius,1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.21,14.391,14.851,15.801,16.864,17.891,18.94
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1314.569,1170.567,1077.906,1156.953,1222.053,1274.175,1322.489,1380.722,1442.297,1508.486,1579.378
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.326,0.316,0.318,0.315,0.331,0.363,0.372,0.381,0.391,0.402,0.413,0.423,0.434
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.036,1.333,1.39,1.73,2.033,2.314,2.036,1.406,1.578,1.777,1.995,2.377,3.118,3.587,4.091,5.282,7.267,6.526,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.309,11.688,12.281,12.975,13.725,14.512,15.376
Mongolia,3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.901,1.083,1.697,1.576,1.381,1.315,1.236,1.329,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.009,13.637,14.674,15.81,17.017,18.136,19.228
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.457,5.424,5.685,5.993,6.337,6.707,7.09
Morocco,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.709,118.534,119.04,124.539,132.769,141.575,151.027,161.282
