"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mozambique,5.479,4.256,4.348,3.894,4.056,5.362,6.293,2.843,2.499,2.611,4.19,3.264,2.238,2.319,2.509,2.572,3.468,4.11,4.718,5.167,4.667,4.567,4.977,5.549,6.749,7.595,8.304,9.466,11.555,11.243,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586,14.396,15.093,16.695,17.879,19.032,21.277,24.228
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.799,7.095,9.073,8.532,7.652,9.378,11.752,13.184,14.268,17.66,25.1,31.729,39.779,54.119,58.467,60.539,63.273,63.225,60.452,61.386,68.668,65.994,72.105,78.827,86.023,93.833,102.485
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.605,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.724,12.796,11.769,11.283,13.562,14.513,14.368,14.943,15.634,16.524,17.593,18.548
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.032,0.031,0.029,0.023,0.037,0.044,0.047,0.066,0.097,0.099,0.105,0.087,0.1,0.11,0.112,0.108,0.111,0.114,0.118,0.122,0.127
Nepal,1.98,2.315,2.34,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995,21.411,21.186,25.181,29.04,29.813,33.917,37.255,40.711,44.273,48.052
Netherlands,193.742,162.386,157.324,153.166,142.566,144.642,201.581,246.907,264.201,260.508,321.376,331.068,365.971,355.901,382.517,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.519,902.355,930.99,970.522,1009.881,1050.234,1095.998
New Zealand,22.52,23.439,23.205,22.453,22.347,22.508,27.39,36.927,45.442,44.062,45.774,43.446,41.525,44.797,52.873,62.214,69.063,68.889,56.779,58.849,54.139,53.106,62.046,82.47,101.581,113.204,109.763,134.946,135.531,121.757,145.31,167.113,175.06,186.98,199.756,175.404,185.058,200.47,203.127,204.671,216.199,229.683,243.668,257.21,272.058
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.844,13.118,12.528,12.331,12.28,12.309,12.422,12.646
Niger,2.509,2.171,2.018,1.803,1.461,1.44,1.904,2.233,2.28,2.18,2.48,2.328,2.345,2.221,1.563,1.756,1.88,1.733,1.98,1.916,1.671,1.815,2.072,2.645,2.9,3.374,3.65,4.29,5.429,5.411,5.729,6.415,6.946,7.67,8.243,7.255,7.61,8.136,9.299,9.443,10.347,11.214,12.805,13.915,15.245
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361,398.186,446.543,494.83,550.07,613.394,683.205,762.016
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378,10.067,10.686,11.308,12.67,12.672,13.333,14.176,15.054,15.979,17.007
Norway,64.439,63.597,62.647,61.628,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.578,127.132,152.031,163.52,161.357,154.163,162.285,171.246,173.973,195.525,228.858,264.51,308.884,345.58,400.939,462.25,386.188,428.757,498.283,509.506,522.762,498.41,385.802,368.827,398.394,434.167,417.627,422.06,432.969,443.836,455.729,469.044
Oman,6.342,7.719,8.1,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.341,12.452,12.494,12.919,13.803,15.277,15.837,13.997,15.593,19.507,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.481,70.598,79.277,76.609,78.657,81.9,84.051,87.024,90.555
Pakistan,30.938,36.599,40.012,37.369,40.572,40.565,41.543,43.437,50.107,52.256,52.426,59.556,63.727,67.442,67.998,79.451,82.968,81.806,81.49,82.514,79.705,77.931,77.937,89.727,105.612,118.481,137.229,152.362,170.853,167.875,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.567,314.588,284.214,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.146,0.157,0.163,0.154,0.165,0.184,0.189,0.195,0.198,0.183,0.183,0.193,0.211,0.223,0.243,0.28,0.3,0.286,0.284,0.291,0.302,0.314,0.327,0.34,0.354
Panama,4.104,4.645,5.132,5.269,5.5,5.818,6.046,6.073,5.25,5.264,5.723,6.292,7.153,7.812,8.33,8.515,10.04,10.849,11.762,12.326,12.502,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.958,62.284,65.055,68.536,73.369,78.888,84.891,91.351,98.303
Papua New Guinea,4.183,4.105,3.894,3.888,3.591,3.326,3.618,3.976,5.526,5.36,4.869,5.726,6.617,7.521,8.265,7.316,7.786,7.442,5.688,5.191,5.289,4.637,4.607,5.617,6.313,7.355,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.331,23.185,23.587,23.935,24.394,25.124,26.039,27.045
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.577,22.347,27.239,33.716,33.283,38.585,40.277,36.164,36.054,39.009,41.854,40.714,42.826,46.181,49.3,52.576,55.698
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.754,121.493,148.931,170.983,192.882,202.091,202.308,191.316,194.387,214.187,225.366,228.989,240.175,253.443,267.694,282.816,298.838
Philippines,36.045,39.595,41.254,36.891,34.857,33.995,33.174,36.871,42.082,47.291,49.095,50.32,58.695,60.237,71.003,82.121,91.792,91.234,72.207,82.995,81.023,76.262,81.358,83.908,91.371,103.074,122.211,149.36,173.603,168.485,199.591,224.143,250.092,271.836,284.585,292.774,304.898,313.62,330.91,356.814,383.482,415.24,455.368,499.607,548.048
Poland,56.619,53.647,65.187,75.406,75.507,70.775,73.677,63.714,68.612,66.895,62.084,80.451,88.713,90.366,103.683,139.089,156.684,157.183,172.05,167.799,171.276,190.43,198.679,217.514,255.284,306.145,344.759,429.473,533.8,440.14,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.749,585.816,565.854,606.73,645.416,685.942,729.835,777.244
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.654,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,240.901,236.408,243.229,252.996,262.862,272.89,283.774
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,104.25,101.131,99.913,100.169,100.342,100.624,101.043,101.52
Qatar,7.829,8.661,7.597,6.468,6.704,6.272,4.95,5.216,5.004,5.288,7.36,6.884,7.646,7.157,7.374,8.138,9.059,11.298,10.255,12.393,17.76,17.538,19.364,23.534,31.734,44.53,60.882,79.712,115.27,97.798,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929,191.362,191.849,195.225,200.74,209.759,219.569,232.103
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407,239.552,243.698,261.868,281.062,301.666,322.862,345.161
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1045.455,856.322,91.76,197.634,297.287,336.492,420.386,434.32,290.996,210.17,278.496,328.853,370.537,461.562,633.914,819.071,1061.692,1393.695,1781.518,1307.56,1635.717,2047.715,2189.094,2292.464,2058.31,1356.836,1280.521,1579.293,1657.29,1637.892,1657.539,1714.313,1782.057,1858.609,1940.442
Rwanda,1.259,1.429,1.525,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.673,1.847,2.099,2.59,3.192,3.876,4.927,5.45,5.85,6.647,7.43,7.623,8.01,8.294,8.475,9.14,9.51,10.209,11.061,12.028,13.155,14.42,15.807
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.433,0.455,0.478,0.467,0.505,0.545,0.644,0.689,0.751,0.748,0.76,0.818,0.801,0.84,0.832,0.852,0.897,0.942,0.98,1.032,1.087,1.14,1.192,1.249,1.309
Saint Lucia,0.152,0.174,0.164,0.176,0.225,0.254,0.304,0.336,0.384,0.435,0.518,0.549,0.603,0.613,0.638,0.682,0.706,0.721,0.785,0.825,0.834,0.798,0.805,0.883,0.954,1.016,1.135,1.281,1.287,1.279,1.4,1.446,1.44,1.484,1.559,1.659,1.702,1.817,1.922,1.992,2.103,2.211,2.309,2.39,2.475
Saint Vincent and the Grenadines,0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.684,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.774,0.792,0.811,0.856,0.893,0.933,0.973,1.016,1.06
Samoa,0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.586,0.639,0.739,0.801,0.805,0.804,0.804,0.786,0.841,0.862,0.905,0.96,0.997,1.038,1.08,1.125
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.714,1.789,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.638,1.591,1.621,1.671,1.717,1.763,1.812
Saudi Arabia,164.54,184.291,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586,786.522,779.289,783.337,800.304,829.134,863.306,902.557
Senegal,4.435,4.022,3.937,3.512,3.425,3.75,5.304,6.381,6.311,6.22,7.237,7.111,7.602,7.189,4.908,6.177,6.413,5.915,6.404,6.521,5.966,6.18,6.78,8.701,10.181,11.033,11.859,14.307,17.017,16.296,16.244,17.899,17.836,18.966,19.802,17.777,19.035,20.933,23.498,23.94,25.768,28.319,31.304,35.952,39.708
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.228,17.411,11.369,9.312,12.313,16.177,21.219,24.743,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.629,40.63,44.12,50.509,51.523,55.437,59.947,64.644,69.687,75.181
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.427,1.503,1.583,1.644,1.67,1.783,1.882,1.983,2.08
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.649,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.786,3.729,4.082,4.229,4.405,4.604,4.854,5.156,5.477
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.058,338.401,364.139,362.818,369.627,383.828,401.187,420.042,440.825
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.669,15.772,19.951,21.579,21.891,22.804,20.841,20.691,21.386,24.854,34.023,43.121,49.048,57.402,77.105,97.03,89.201,89.662,98.293,93.468,98.508,101.109,87.814,89.885,95.821,106.573,106.552,111.874,118.745,125.383,132.009,138.946
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.261,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.67,48.545,54.059,54.154,56.854,60.238,63.422,66.668,70.092
Solomon Islands,0.177,0.188,0.187,0.176,0.176,0.16,0.143,0.15,0.171,0.167,0.208,0.22,0.261,0.291,0.368,0.429,0.471,0.493,0.419,0.447,0.381,0.38,0.324,0.314,0.363,0.429,0.471,0.516,0.608,0.598,0.681,0.933,1.064,1.13,1.174,1.158,1.233,1.284,1.378,1.44,1.532,1.637,1.747,1.877,2.008
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.721,4.958,5.218,5.507,5.816,6.143,6.488
South Africa,82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,358.839,369.854,383.9,399.697,416.432,434.421
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.186,11.267,14.947,15.105,14.558,3.443,3.438,4.583,3.681,3.355,3.47,4.081,4.087,4.219
Spain,230.189,204.082,197.154,172.429,171.955,181.172,250.683,317.602,373.143,411.571,534.328,575.021,628.565,528.01,529.824,612.429,638.444,587.92,616.885,634.396,597.148,626.522,708.006,908.628,1071.036,1158.348,1265.678,1481.397,1641.514,1503.409,1434.184,1489.755,1336.789,1362.261,1379.1,1199.688,1237.998,1317.104,1427.533,1397.87,1440.399,1503.508,1564.589,1626.803,1695.199
Sri Lanka,5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.888,18.43,18.532,19.371,18.61,19.585,21.621,23.655,27.945,32.359,37.043,46.602,48.113,56.71,65.267,68.419,74.277,79.312,80.557,82.39,88.013,88.901,86.566,92.111,98.976,106.384,114.456,123.445
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,65.266,55.563,45.944,34.282,30.873,33.69,33.929,34.343,34.887,35.48
Suriname,1.192,1.333,1.372,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.787,3.166,3.069,3.427,3.774,4.162,4.357,4.706,4.931,5.184
Sweden,136.602,127.192,112.479,103.872,107.557,111.351,147.956,179.559,202.941,212.91,256.236,272.895,280.572,211.209,227.273,265.394,289.758,266.384,268.917,272.292,261.336,241.018,265.336,332.269,382.625,389.753,420.221,487.975,515.414,435.113,495.329,572.744,550.927,584.638,580.249,503.651,515.744,540.545,556.073,528.929,540.785,567.67,598.91,632.457,669.684
Switzerland,118.954,108.905,111.579,111.278,106.269,107.779,154.449,193.384,209.365,202.212,258.017,261.197,271.577,264.178,292.675,342.76,330.247,286.561,294.82,289.538,272.179,278.678,301.501,353.157,393.587,408.669,431.133,480.271,553.824,541.614,583.055,699.666,667.892,688.729,709.481,679.728,671.399,680.029,705.546,715.36,749.424,782.014,816.372,852.436,891.274
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.423,0.43,0.463,0.499,0.541,0.584,0.63
Taiwan Province of China,42.3,48.986,49.545,54.162,61.088,63.641,78.234,105.04,126.461,152.727,166.845,187.354,223.123,236.537,256.438,279.27,292.687,303.706,280.407,304.174,331.407,300.422,308.884,318.597,348.521,375.787,388.547,408.221,417.038,392.106,446.141,485.671,495.919,511.599,530.515,525.601,531.357,574.895,589.906,586.104,603.031,635.053,670.153,707.257,746.023
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,8.152,8.632,9.183,9.732,10.253,10.818
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.122,14.159,15.575,17.174,18.878,21.811,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.852,62.224,67.241,72.49,78.356,84.978,92.226
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.89,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.297,134.301,152.281,172.895,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.266,412.411,455.322,504.928,529.177,557.309,590.37,626.327,664.761,700.151
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.44,0.518,0.511,0.543,1.078,1.814,2.658,2.881,4.391,3.2,3.999,5.672,6.662,5.638,4.042,3.093,2.504,2.487,2.746,2.938,3.132,3.062,2.945,3.269,3.631
Togo,1.479,1.228,1.035,0.986,0.906,0.95,1.331,1.562,1.739,1.706,2.055,2.031,2.13,1.623,1.258,1.661,1.815,1.849,1.75,1.757,1.493,1.483,1.706,2.116,2.26,2.283,2.352,2.663,3.323,3.376,3.432,3.872,3.876,4.322,4.576,4.181,4.469,4.801,5.358,5.502,5.995,6.559,7.169,7.832,8.568
Tonga,0.074,0.082,0.081,0.08,0.084,0.079,0.094,0.101,0.119,0.144,0.15,0.174,0.18,0.188,0.203,0.213,0.234,0.22,0.198,0.201,0.195,0.177,0.191,0.212,0.248,0.283,0.294,0.321,0.342,0.338,0.39,0.455,0.46,0.447,0.445,0.413,0.43,0.47,0.488,0.488,0.509,0.527,0.545,0.565,0.587
