"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.769,27.11,27.478,25.121,21.754,22.25,22.525,22.607,23.251,24.17,25.175,26.239,27.414
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.152,41.802,39.817,39.895,38.732,39.61,37.971,38.461,41.205,44.791
Turkey,96.526,97.794,88.854,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,219.091,248.447,179.208,233.34,250.263,261.775,276.012,256.485,273.085,200.305,238.342,311.944,404.853,501.163,550.796,675.01,764.643,644.47,772.29,832.497,873.696,950.328,934.075,859.449,863.39,852.648,771.274,743.708,813.81,904.556,978.755,1036.059,1099.486
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.951,5.363,4.542,5.874,2.379,2.681,2.862,3.857,5.022,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.18,37.926,40.761,46.674,54.226,60.651,67.009,74.07,81.907
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.014,0.013,0.016,0.018,0.022,0.022,0.023,0.027,0.031,0.027,0.032,0.039,0.038,0.038,0.037,0.036,0.037,0.04,0.042,0.042,0.046,0.049,0.053,0.057,0.06
Uganda,5.769,9.341,6.481,7.413,5.703,5.219,5.199,8.384,8.685,7.041,5.743,3.004,2.809,3.323,4.809,5.76,5.944,6.48,6.343,6.029,5.978,6.039,6.494,6.724,8.285,9.603,10.851,13.497,17.279,18.579,20.212,21.108,24.587,25.71,26.723,22.96,24.75,26.464,28.116,30.666,33.93,37.1,41.021,44.57,50.928
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,130.857,150.401,161.872,172.226,182.522,193.315,204.485
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,377.701,414.179,405.771,414.02,426.803,442.867,461.438,482.174
United Kingdom,604.678,587.772,558.717,532.564,504.481,536.81,654.761,812.013,988.304,1005.574,1191.021,1244.811,1284.454,1149.99,1235.021,1336.125,1410.853,1553.949,1641.822,1668.683,1651.392,1626.218,1775.814,2045.693,2404.7,2527.843,2700.951,3085.3,2934.747,2403.357,2455.309,2635.799,2677.082,2755.356,3036.31,2897.06,2669.107,2640.067,2828.833,2743.586,2716.534,2806.243,2911.119,3024.981,3149.849
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9630.7,10252.35,10581.825,10936.45,11458.25,12213.725,13036.625,13814.6,14451.875,14712.825,14448.925,14992.05,15542.6,16197.05,16784.825,17527.275,18224.775,18715.05,19519.4,20580.25,21439.453,22321.762,23180.283,24013.801,24881.411,25793.419
Uruguay,11.199,12.499,10.218,5.609,5.334,5.212,6.47,8.095,8.375,8.827,10.27,12.376,14.223,16.568,19.299,21.312,22.657,23.974,25.394,23.995,22.832,20.907,13.632,12.067,13.708,17.398,19.62,23.461,30.366,31.661,40.285,47.962,51.266,57.531,57.236,53.275,52.687,59.546,59.651,59.918,62.917,66.885,69.496,72.661,75.854
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.361,6.742,7.991,12.459,17.059,18.018,18.316,20.881,16.808,14.252,11.833,12.411,14.705,17.535,20.863,27.333,35.05,41,47.492,54.945,61.98,69.008,76.661,81.34,81.323,58.147,50.485,60.49,70.156,79.887,89.851,101.155,113.366
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.527,0.599,0.607,0.681,0.759,0.77,0.798,0.817,0.774,0.798,0.88,0.928,0.951,1.003,1.056,1.114,1.176,1.242
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.667,91.905,97.239,117.676,123.156,95.57,83.67,112.189,143.326,177.722,221.953,289.877,237.448,294.507,334.272,331.628,234.401,212.347,323.595,279.249,143.841,98.437,70.14,62.921,59.681,no data,no data,no data
Vietnam,27.847,13.875,18.405,27.726,48.177,14.999,33.873,42.045,23.234,6.293,6.472,7.642,9.867,13.181,16.312,20.798,24.692,26.892,27.234,28.702,31.176,32.524,35.097,39.563,49.52,57.648,66.393,77.52,98.269,101.634,112.771,134.598,155.483,170.444,185.759,191.288,201.326,220.376,241.272,261.637,284.847,308.628,334.5,363.034,394.888
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,36.971,28.083,24.561,27.591,29.855,23.032,24.372,26.584,28.063,29.033
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.332,12.757,14.057,17.911,15.328,20.265,23.46,25.503,28.046,27.151,21.243,20.941,25.868,26.72,23.946,23.342,23.415,23.636,23.951,24.401
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,20.997,12.818,12.868,13.468,14.319,15.113,16.004
Africa (Region),444.517,453.449,461.461,441.479,384.722,379.54,416.069,464.939,493.465,533.328,622.984,571.455,570.902,572.966,562.687,668.272,747.753,777.068,786.727,645.562,666.719,645.938,659.182,791.413,949.65,1119.124,1296.243,1514.163,1768.041,1679.588,1971.602,2199.854,2348.096,2427.982,2510.995,2288.036,2161.953,2184.151,2307.321,2399.277,2581.428,2754.408,2946.736,3157.161,3386.28
Asia and Pacific,2327.474,2489.365,2420.873,2572.12,2723.174,2782.837,3540.159,4203.66,5024.797,5228.896,5453.817,6006.496,6580.793,7409.955,8037.791,9138.506,8924.278,8591.089,7774.955,8645.385,9245.485,8628.792,8866.373,9895.431,11169.509,12082.883,12942.134,14801.37,16763.073,17257.302,20167.497,23174.233,24635.573,25002.577,25921.701,25797.015,26702.882,28423.821,30225.399,31420.936,33439.803,35861.268,38446.145,41200.464,44168.361
Australia and New Zealand,185.139,211.496,209.903,201.595,219.113,196.565,208.527,249.627,316.022,351.763,369.147,367.24,358.994,353.54,405.44,440.334,492.613,494.442,437.379,469.894,453.265,429.813,486.404,622.205,758.101,847.487,890.905,1082.884,1191.099,1120.692,1397.027,1681.104,1744.164,1705.324,1657.242,1410.529,1452.808,1587.242,1623.172,1580.927,1591.648,1670.146,1757.418,1848.985,1942.227
Caribbean,23.349,25.832,27.363,27.538,32.855,24.7,24.728,24.871,24.435,26.668,27.947,29.627,31.229,33.298,36.892,43.101,46.745,50.762,54.678,57.656,61.974,63.965,66.953,63.119,68.285,87.842,94.738,107.893,120.174,108.706,118.526,128.442,132.456,135.924,141.443,144.551,145.487,151.989,160.649,164.758,173.623,184.034,194.89,206.472,218.77
Central America,25.683,24.906,25.89,27.381,29.06,31.488,29.64,28.839,27.82,31.289,28.461,35.788,40.257,43.619,47.473,52.472,55.651,60.522,65.51,66.318,69.484,73.392,77.101,80.748,87.131,95.649,106.151,120.266,136.779,137.397,152.746,174.252,189.813,202.859,215.748,232.207,245.413,260.293,268.883,276.725,292.584,309.893,328.193,348.02,371.039
Central Asia and the Caucasus,96.526,97.794,88.854,84.906,82.583,92.76,102.304,118.885,125.153,147.688,207.375,208.109,229.787,269.19,209.291,275.986,301.448,316.64,332.054,309.654,325.807,257.038,302.701,388.714,503.724,628.517,721.786,901.698,1048.658,906.429,1089.986,1230.478,1309.482,1432.602,1416.361,1270.96,1214.13,1214.673,1146.287,1132.885,1236.201,1363.454,1477.956,1584.857,1699.043
East Asia,1552.222,1668.023,1586.893,1728.574,1832.73,1918.304,2625.226,3174.538,3878.078,3994.11,4066.97,4616.186,5095.381,5834.122,6337.578,7186.205,6772.879,6438.527,5902.335,6631.726,7182.994,6666.563,6696.718,7301.271,8094.515,8558.978,8943.362,9883.368,11331.473,11907.474,13592.487,15677.35,16822.784,16961.391,17703.437,17928.145,18512.376,19474.013,21025.965,21896.899,23312.528,24926.902,26646.77,28478.646,30456.885
Eastern Europe ,152.631,161.757,175.011,176.832,168.745,169.095,176.487,178.836,205.401,199.064,1202.404,1003.861,318.93,458.314,599.486,767.656,895.225,935.432,817.415,702.686,766.97,866.497,979.142,1193.888,1522.483,1865.28,2261.767,2924.796,3657.14,2859.412,3232.844,3822.546,3877.871,4074.23,3837.154,2880.327,2829.663,3304.08,3600.31,3601.992,3746.098,3932.587,4130.57,4345.231,4574.347
Europe,3994.247,3596.104,3481.294,3392.528,3257.183,3372.898,4545.241,5582.108,6242.965,6341.382,8826.542,9119.146,9138.086,8470.337,9099.972,10506.522,10816.589,10269.861,10439.171,10331.08,9719.545,9872.072,10807.142,13124.637,15248.574,16157.057,17468.732,20375.656,22391.624,19670.869,19967.425,21978.077,21034.539,21925.378,22281.68,19114.425,19117.143,20300.558,21867.127,21418.39,21955.221,22857.161,23782.053,24751.767,25810.061
Middle East (Region),389.687,426.538,415.944,420.445,416.726,419.679,426.411,514.722,551.346,621.616,874.06,620.581,399.549,423.305,469.034,525.612,603.533,653.25,660.046,772.565,956.513,909.602,718.306,802.97,966.124,1181.559,1396.128,1655.276,2069.077,1825.795,2151.708,2566.962,2554.291,2666.064,2738.397,2366.651,2377.946,2556.937,2817.907,2832.565,2886.292,2982.323,3109.568,3260.278,3444.8
North Africa,136.375,130.856,135.728,142.243,147.289,163.702,169.372,195.527,206.281,232.288,232.278,175.496,178.432,179.009,178.428,196.7,218.183,224.372,230.944,244.435,258.104,252.655,232.874,258.731,291.987,339.275,387.91,457.679,553.065,522.541,597.476,627.156,710.854,702.732,701.354,659.579,656.204,584,622.695,665.827,729.866,763.853,799.53,838.592,877.941
North America,3376.402,3823.834,3888.276,4166.875,4618.396,4942.856,5131.117,5477.319,5973.902,6483.161,6880.208,7151.054,7553.053,7975.317,8434.655,8648.415,9160.016,9781.142,10277.429,10967.173,11766.584,12147.149,12541.25,13159.012,14102.758,15171.507,16196.587,17062.993,17469.317,16821.867,17765.576,18616.766,19328.072,20008.314,20750.035,21055.224,21427.317,22430.537,23615.913,24544.456,25556.88,26572.29,27570.174,28613.682,29712.782
Pacific Islands ,6.023,5.987,5.73,5.625,5.421,5.068,5.521,5.8,7.357,7.29,7.065,8.041,9.162,10.212,11.255,10.633,11.377,11.036,8.707,8.536,8.293,7.579,7.734,9.391,10.754,12.301,13.529,15.285,17.847,16.992,20.201,25.142,28.882,29.166,31.487,29.706,29.11,31.365,32.554,33.264,34.193,35.261,36.639,38.265,40.012
South America,575.012,579.194,492.798,461.474,451.762,498.878,562.39,596.647,664.751,730.043,807.293,827.296,883.893,954.808,1137.387,1441.17,1529.368,1627.057,1607.3,1294.539,1369.544,1258.376,994.194,1070.441,1298.697,1658.424,2016.124,2497.707,3030.506,2906.219,3743.61,4425.539,4413.514,4409.943,4316.893,3724.614,3588.3,3890.54,3598.072,3472.592,3563.702,3759.77,3956.904,4171.342,4377.357
South Asia,250.202,262.944,271.961,289.486,290.316,313.117,331.226,367.257,393.08,399.007,428.291,386,409.057,406.572,461.309,512.085,552.677,579.507,586.944,628.432,637.266,652.344,686.098,800.876,928.619,1061.671,1205.953,1526.922,1554.721,1706.671,2084.398,2256.362,2285.696,2347.918,2572.327,2690.559,2914.131,3339.303,3447.594,3662.255,3945.379,4311.258,4719.452,5167.109,5654.847
Southeast Asia,237.361,243.122,257.533,261.933,293.011,257.023,267.356,287.553,305.108,329.039,374.969,420.92,478.412,536.319,612.917,713.263,793.284,750.936,507.536,597.143,637.86,615.454,686.717,772.975,873.797,973.929,1166.599,1391.213,1619.275,1599.044,1983.399,2303.796,2444.565,2526.176,2540.847,2467.116,2580.328,2777.225,2949.828,3114.707,3319.854,3554.247,3807.909,4082.602,4375.348
Sub-Saharan Africa (Region) ,308.142,322.593,325.733,299.236,237.432,215.838,246.697,269.412,287.184,301.04,390.706,395.959,392.47,393.957,384.259,471.572,529.571,552.696,555.782,401.127,408.615,393.283,426.309,532.681,657.662,779.849,908.333,1056.483,1214.976,1157.047,1374.125,1572.697,1637.242,1725.25,1809.641,1628.457,1505.749,1600.151,1684.626,1733.451,1851.562,1990.555,2147.206,2318.569,2508.34
Western Europe,3841.617,3434.347,3306.283,3215.696,3088.438,3203.803,4368.754,5403.272,6037.564,6142.318,7624.139,8115.285,8819.157,8012.023,8500.487,9738.866,9921.364,9334.429,9621.755,9628.393,8952.575,9005.575,9828,11930.748,13726.091,14291.777,15206.965,17450.861,18734.484,16811.456,16734.58,18155.531,17156.669,17851.149,18444.526,16234.098,16287.48,16996.478,18266.817,17816.398,18209.123,18924.574,19651.482,20406.535,21235.714
Western Hemisphere (Region),4000.445,4453.766,4434.328,4683.268,5132.073,5497.922,5747.875,6127.676,6690.908,7271.162,7743.909,8043.765,8508.433,9007.042,9656.406,10185.158,10791.78,11519.483,12004.917,12385.686,13267.587,13542.882,13679.498,14373.321,15556.87,17013.421,18413.6,19788.858,20756.776,19974.188,21780.458,23344.999,24063.856,24757.04,25424.119,25156.595,25406.517,26733.359,27643.517,28458.53,29586.789,30825.988,32050.161,33339.515,34679.947
ASEAN-5,223.366,227.637,240.535,241.876,270.517,230.331,243.09,260.864,274.143,292.482,329.528,367.282,416.842,466.079,528.846,613.175,684.08,638.085,407.048,493.728,520.222,504.644,573.396,651.204,729.212,811.207,977.126,1162.767,1363.871,1341.25,1667.369,1924.344,2041.046,2107.129,2111.602,2047.424,2151.956,2323.566,2458.144,2624.644,2811.991,3020.946,3245.059,3487.254,3744.254
Advanced economies,8454.129,8589.521,8531.012,8875.924,9281.982,9772.777,11926.963,13865.259,15661.797,16339.817,18345.221,19594.008,21071.993,21219.586,22780.517,25220.323,25402.465,24922.432,25015.604,26334.648,26787.507,26510.811,27683.547,31047.431,34437.532,36242.058,38123.245,41637.183,43934.115,41487.84,43286.102,46468.792,46304.946,46714.189,47839.421,45282.007,46475.758,48465.122,51242.806,51743.759,53454.779,55580.182,57751.551,60030.129,62472.283
Emerging and Developing Asia,759.102,755.249,769.515,812.931,848.556,832.536,851.369,930.623,1045.606,1117.707,1120.761,1128.842,1278.275,1449.012,1511.349,1807.505,2047.095,2126.583,1970.187,2164.013,2324.387,2453.742,2689.756,3069.344,3561.68,4113.563,4878.571,6176.458,7437.965,8087.636,9745.287,11625.653,12823.151,14012.94,15133.078,15847.662,16160.817,17579.642,19133.354,20318.036,21955.58,23838.498,25836.392,27978.432,30289.202
Emerging and Developing Europe,249.157,259.552,263.865,261.738,251.328,261.855,278.791,297.722,330.554,346.752,1409.779,1211.971,517.056,671.95,739.04,883.881,1016.272,1070.928,957.902,826.409,914.223,932.623,1058.658,1305.371,1685.045,2091.383,2495.365,3197.115,3930.349,3079.965,3584.872,4188.483,4316.398,4573.336,4312.896,3336.88,3275.422,3698.67,3854.729,3826.312,4012.11,4257.475,4498.214,4738.235,4996.343
Emerging market and developing economies,2702.242,2829.702,2682.889,2633.917,2631.895,2680.099,2748.792,3027.847,3341.683,3656.567,5176.091,4767.436,4125.77,4664.019,5045.373,5803.968,6481.686,6888.634,6650.541,6445.958,7070.939,7098.323,7057.515,7952.431,9467.993,11328.444,13412.941,16521.88,19841.787,18947.738,22787.28,26843.025,28385.415,30128.24,31105.071,29497.47,29347.887,31797.023,33686.702,34855.072,37064.829,39772.836,42657.456,45756.056,49097.176
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6093.681,6720.446,6108.319,6452.369,7615.246,7732.7,6942.463,7105.406,7117.232,6489.281,6581.87,7181.855,8845.649,10140.822,10515.994,11172.607,12871.519,14155.022,12931.976,12653.244,13633.034,12642.474,13187.204,13505.795,11669.211,11957.892,12629.651,13639.082,13313.986,13678.438,14235.64,14780.454,15337.614,15949.789
European Union,3805.474,3417.829,3301.52,3214.509,3083.671,3194.352,4305.495,5286.361,5923.02,6028.052,7394.549,7871.467,8597.919,7830.19,8316.003,9610.356,9821.461,9279.324,9601.739,9590.158,8918.864,9003.418,9838.802,11957.426,13800.162,14427.037,15398.837,17801.812,19226.235,17157.446,17020.091,18386.485,17314.961,18044.526,18682.427,16437.356,16540.757,17348.916,18736.855,18292.198,18750.374,19531.935,20322.457,21144.842,22045.235
Latin America and the Caribbean,852.65,923.542,759.129,690.107,718.537,772.454,767.272,815.415,918.932,1034.08,1154.103,1240.85,1359.112,1532.52,1749.561,1896.839,2042.738,2238.757,2254.009,2018.737,2208.912,2152.427,1910.358,1943.644,2236.356,2719.392,3192.397,3778.563,4397.447,4052.368,5072.683,5908.721,5936.877,6023.17,5988.653,5271.938,5057.106,5459.775,5249.657,5188.25,5352.398,5634.419,5922.284,6234.319,6546.544
Major advanced economies (G7),6882.093,7096.007,7065.865,7455.14,7845.048,8317.545,10058.075,11557.45,12995.429,13491.148,14925.109,15986.013,17161.228,17493.905,18704.454,20392.446,20361.704,20110.869,20386.355,21481.854,21996.078,21737.35,22436.538,24763.014,27192.613,28394.343,29625.142,31814.337,33313.414,31757.128,32943.465,35021.364,35194.472,35219.399,36121.693,34702.692,35651.273,36876.177,38900.677,39627.483,41031.337,42594.792,44166.729,45815.94,47577.269
Middle East and Central Asia,542.286,575.296,569.395,576.389,584.033,602.962,612.063,726.639,768.958,873.842,1104.836,794.382,584.092,623.731,669.131,752.978,856.524,912.018,925.677,1048.551,1230.01,1184.071,992.732,1125.19,1356.663,1662.619,1987.728,2377.234,2931.244,2630.628,3081.915,3620.837,3727.819,3854.204,3929.136,3485.074,3411.66,3512.421,3806.778,3828.715,3936.209,4095.799,4298.625,4533.194,4804.97
Other advanced economies,768.322,787.033,782.146,781.237,818.674,815.119,993.815,1222.95,1442.661,1569.641,1807.865,1925.82,2051.388,2026.4,2275.827,2681.646,2860.093,2771.655,2498.843,2678.225,2762.084,2678.41,2914.511,3356.827,3836.976,4232.612,4585.27,5244.199,5540.075,5095.668,5868.105,6706.233,6757.161,6984.434,7114.113,6545.305,6677.324,7164.952,7507.364,7356.688,7502.544,7845.153,8226.579,8633.338,9069.529
Sub-Saharan Africa,299.047,316.063,320.985,292.751,229.44,210.291,239.297,257.448,277.633,284.188,386.612,391.392,387.234,386.806,376.291,462.764,519.058,540.347,542.765,388.248,393.407,375.461,406.01,508.882,628.25,741.487,858.88,992.511,1144.784,1097.14,1302.523,1499.331,1581.169,1664.59,1741.308,1555.915,1442.882,1546.516,1642.183,1693.76,1808.531,1946.644,2101.941,2271.875,2460.118
World,11156.371,11419.223,11213.901,11509.84,11913.877,12452.876,14675.754,16893.106,19003.48,19996.384,23521.312,24361.443,25197.763,25883.605,27825.89,31024.291,31884.151,31811.066,31666.145,32780.606,33858.446,33609.134,34741.061,38999.862,43905.526,47570.502,51536.187,58159.063,63775.903,60435.578,66073.382,73311.817,74690.361,76842.429,78944.492,74779.477,75823.645,80262.145,84929.508,86598.831,90519.608,95353.018,100409.007,105786.185,111569.459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
